1,Solo: A Star Wars Story,348350,6/2/2018
2,Deadpool 2,383498,6/2/2018
3,Avengers: Infinity War,299536,6/2/2018
4,Adrift,429300,6/2/2018
5,Book Club,502682,6/2/2018
6,Upgrade,500664,6/2/2018
7,Life of the Party ,399796,6/2/2018
8,Breaking In,497814,6/2/2018
9,Action Point,454283,6/2/2018
10,A Quiet Place,447332,6/2/2018
1,Solo: A Star Wars Story,348350,6/3/2018
2,Deadpool 2,383498,6/3/2018
3,Avengers: Infinity War,299536,6/3/2018
4,Adrift,429300,6/3/2018
5,Book Club,502682,6/3/2018
6,Upgrade,500664,6/3/2018
7,Life of the Party ,399796,6/3/2018
8,Breaking In,497814,6/3/2018
9,Action Point,454283,6/3/2018
10,Overboard,454619,6/3/2018
1,Solo: A Star Wars Story,348350,6/4/2018
2,Deadpool 2,383498,6/4/2018
3,Adrift,429300,6/4/2018
4,Avengers: Infinity War,299536,6/4/2018
5,Book Club,502682,6/4/2018
6,Upgrade,500664,6/4/2018
7,Life of the Party ,399796,6/4/2018
8,Breaking In,497814,6/4/2018
9,Action Point,454283,6/4/2018
10,A Quiet Place,447332,6/4/2018
1,Solo: A Star Wars Story,348350,6/5/2018
2,Deadpool 2,383498,6/5/2018
3,Adrift,429300,6/5/2018
4,Book Club,502682,6/5/2018
5,Avengers: Infinity War,299536,6/5/2018
6,Upgrade,500664,6/5/2018
7,Life of the Party ,399796,6/5/2018
8,Breaking In,497814,6/5/2018
9,Action Point,454283,6/5/2018
10,Overboard,454619,6/5/2018
1,Solo: A Star Wars Story,348350,6/6/2018
2,Deadpool 2,383498,6/6/2018
3,Book Club,502682,6/6/2018
4,Adrift,429300,6/6/2018
5,Avengers: Infinity War,299536,6/6/2018
6,Upgrade,500664,6/6/2018
7,Life of the Party ,399796,6/6/2018
8,Breaking In,497814,6/6/2018
9,Action Point,454283,6/6/2018
10,Show Dogs,425148,6/6/2018
1,Solo: A Star Wars Story,348350,6/7/2018
2,Deadpool 2,383498,6/7/2018
3,Avengers: Infinity War,299536,6/7/2018
4,Book Club,502682,6/7/2018
5,Adrift,429300,6/7/2018
6,Upgrade,500664,6/7/2018
7,Life of the Party ,399796,6/7/2018
8,Show Dogs,425148,6/7/2018
9,Breaking In,497814,6/7/2018
10,Action Point,454283,6/7/2018
1,Oceans 8,402900,6/8/2018
2,Hereditary,493922,6/8/2018
3,Solo: A Star Wars Story,348350,6/8/2018
4,Deadpool 2,383498,6/8/2018
5,Avengers: Infinity War,299536,6/8/2018
6,Adrift,429300,6/8/2018
7,Book Club,502682,6/8/2018
8,Hotel Artemis,406761,6/8/2018
9,Life of the Party ,399796,6/8/2018
10,Upgrade,500664,6/8/2018
1,Oceans 8,402900,6/9/2018
2,Solo: A Star Wars Story,348350,6/9/2018
3,Deadpool 2,383498,6/9/2018
4,Hereditary,493922,6/9/2018
5,Avengers: Infinity War,299536,6/9/2018
6,Adrift,429300,6/9/2018
7,Book Club,502682,6/9/2018
8,Hotel Artemis,406761,6/9/2018
9,Upgrade,500664,6/9/2018
10,Life of the Party ,399796,6/9/2018
1,Oceans 8,402900,6/10/2018
2,Solo: A Star Wars Story,348350,6/10/2018
3,Deadpool 2,383498,6/10/2018
4,Hereditary,493922,6/10/2018
5,Avengers: Infinity War,299536,6/10/2018
6,Adrift,429300,6/10/2018
7,Book Club,502682,6/10/2018
8,Hotel Artemis,406761,6/10/2018
